bid_id,tender_id,vendor_id,bid_amount,submission_day_offset,submission_hour,is_winner,bid_text_similarity_score,fraud_tag
B-000000,T-00000,V-0254,4684699.72,10,13,True,0.065,none
B-000001,T-00000,V-0259,4046617.05,4,11,False,0.003,none
B-000002,T-00001,V-0013,43720007.47,8,17,True,0.129,none
B-000003,T-00001,V-0396,40731586.7,10,18,False,0.111,none
B-000004,T-00002,V-0246,637509.42,6,14,False,0.082,none
B-000005,T-00002,V-0026,663440.21,1,15,True,0.018,none
B-000006,T-00002,V-0198,687967.24,9,13,False,0.053,none
B-000007,T-00002,V-0392,668703.29,5,14,False,0.138,none
B-000008,T-00002,V-0193,687185.58,3,11,False,0.014,none
B-000009,T-00002,V-0356,628895.87,0,11,False,0.062,none
B-000010,T-00003,V-0290,14437738.23,0,9,False,0.008,none
B-000011,T-00003,V-0023,13080171.72,7,10,True,0.042,none
B-000012,T-00003,V-0410,14197120.9,5,13,False,0.09,none
B-000013,T-00003,V-0007,13517356.68,3,12,False,0.019,none
B-000014,T-00003,V-0447,13661749.0,6,15,False,0.099,none
B-000015,T-00003,V-0368,15352514.74,10,9,False,0.011,none
B-000016,T-00004,V-0253,1550792.05,3,15,False,0.107,none
B-000017,T-00004,V-0361,1508684.3,5,16,True,0.044,none
B-000018,T-00004,V-0376,1360097.75,10,11,False,0.079,none
B-000019,T-00005,V-0257,2659405.13,9,15,False,0.042,none
B-000020,T-00005,V-0053,2908182.63,3,10,False,0.126,none
B-000021,T-00005,V-0027,2733920.21,8,11,False,0.046,none
B-000022,T-00005,V-0177,3088113.65,8,11,False,0.018,none
B-000023,T-00005,V-0461,2774843.65,2,8,False,0.147,none
B-000024,T-00005,V-0210,2742106.86,7,18,True,0.115,none
B-000025,T-00006,V-0010,5050919.86,4,12,True,0.088,none
B-000026,T-00006,V-0255,5187604.56,4,9,False,0.009,none
B-000027,T-00007,V-0196,8089454.7,3,11,True,0.057,none
B-000028,T-00007,V-0253,8511007.8,10,14,False,0.08,none
B-000029,T-00007,V-0009,8632781.02,10,12,False,0.005,none
B-000030,T-00007,V-0441,7779126.05,5,8,False,0.137,none
B-000031,T-00007,V-0195,7512039.34,5,12,False,0.122,none
B-000032,T-00007,V-0227,7264679.36,9,11,False,0.114,none
B-000033,T-00008,V-0371,7869195.54,0,9,False,0.083,none
B-000034,T-00008,V-0424,7130893.17,10,12,False,0.129,none
B-000035,T-00008,V-0318,6650015.51,8,15,False,0.064,none
B-000036,T-00008,V-0222,7814482.25,9,16,True,0.039,none
B-000037,T-00009,V-0239,9537593.42,4,18,True,0.143,none
B-000038,T-00009,V-0381,8293567.69,1,11,False,0.116,none
B-000039,T-00009,V-0473,8713986.6,4,13,False,0.086,none
B-000040,T-00009,V-0121,8337324.04,0,17,False,0.041,none
B-000041,T-00009,V-0067,8247362.95,4,18,False,0.038,none
B-000042,T-00010,V-0006,8070887.8,2,15,False,0.069,none
B-000043,T-00010,V-0063,7515862.27,7,8,False,0.07,none
B-000044,T-00010,V-0157,7771800.65,5,15,True,0.096,none
B-000045,T-00010,V-0291,7796723.88,8,11,False,0.061,none
B-000046,T-00010,V-0338,7342465.57,9,9,False,0.041,none
B-000047,T-00010,V-0164,8104375.11,9,16,False,0.047,none
B-000048,T-00011,V-0225,655374.07,4,12,False,0.13,none
B-000049,T-00011,V-0092,632293.88,2,11,True,0.095,none
B-000050,T-00012,V-0446,688472.14,3,9,True,0.098,none
B-000051,T-00012,V-0316,631044.24,2,18,False,0.076,none
B-000052,T-00012,V-0335,668128.79,7,17,False,0.048,none
B-000053,T-00013,V-0367,621974.93,0,18,False,0.127,none
B-000054,T-00013,V-0116,662861.59,5,16,False,0.108,none
B-000055,T-00013,V-0031,640040.14,9,11,True,0.052,none
B-000056,T-00013,V-0487,621380.94,1,16,False,0.067,none
B-000057,T-00013,V-0365,652849.93,8,9,False,0.036,none
B-000058,T-00013,V-0132,674224.28,5,17,False,0.056,none
B-000059,T-00014,V-0036,676402.09,0,13,False,0.091,none
B-000060,T-00014,V-0328,654903.53,5,13,True,0.146,none
B-000061,T-00014,V-0218,602981.41,10,13,False,0.071,none
B-000062,T-00014,V-0448,612670.16,4,17,False,0.005,none
B-000063,T-00014,V-0144,642510.86,5,8,False,0.044,none
B-000064,T-00015,V-0466,588966.35,9,11,True,0.121,none
B-000065,T-00015,V-0302,604464.89,8,16,False,0.118,none
B-000066,T-00015,V-0013,613400.76,5,11,False,0.057,none
B-000067,T-00016,V-0016,5837061.64,1,9,False,0.144,none
B-000068,T-00016,V-0336,5633335.09,3,17,False,0.076,none
B-000069,T-00016,V-0371,5822401.03,9,18,False,0.082,none
B-000070,T-00016,V-0076,5679149.84,6,16,False,0.11,none
B-000071,T-00016,V-0195,4986720.65,8,8,False,0.091,none
B-000072,T-00016,V-0390,5338420.76,10,16,True,0.078,none
B-000073,T-00017,V-0428,11806029.35,5,11,True,0.12,none
B-000074,T-00017,V-0294,11044611.32,5,11,False,0.068,none
B-000075,T-00017,V-0150,12337658.1,1,11,False,0.067,none
B-000076,T-00018,V-0185,1411057.25,5,18,True,0.073,none
B-000077,T-00018,V-0040,1386865.12,3,15,False,0.118,none
B-000078,T-00018,V-0180,1275809.64,3,17,False,0.124,none
B-000079,T-00018,V-0286,1407953.67,2,16,False,0.037,none
B-000080,T-00018,V-0258,1303888.27,6,18,False,0.088,none
B-000081,T-00019,V-0310,13225527.36,5,13,False,0.018,none
B-000082,T-00019,V-0133,13001735.09,6,14,True,0.076,none
B-000083,T-00019,V-0407,13253563.52,2,17,False,0.074,none
B-000084,T-00020,V-0460,11913141.38,0,10,False,0.018,none
B-000085,T-00020,V-0092,12321938.38,4,16,True,0.107,none
B-000086,T-00020,V-0448,12314735.5,7,9,False,0.019,none
B-000087,T-00021,V-0426,12665829.89,2,9,True,0.02,none
B-000088,T-00021,V-0220,12995505.89,8,14,False,0.136,none
B-000089,T-00022,V-0065,13315346.41,4,9,False,0.051,none
B-000090,T-00022,V-0205,13135575.5,5,17,True,0.091,none
B-000091,T-00022,V-0356,11320320.7,1,8,False,0.011,none
B-000092,T-00022,V-0285,10523201.12,5,15,False,0.137,none
B-000093,T-00023,V-0379,2743588.51,2,10,False,0.109,none
B-000094,T-00023,V-0427,2384884.64,9,16,False,0.013,none
B-000095,T-00023,V-0223,2562913.8,0,17,False,0.089,none
B-000096,T-00023,V-0148,2415555.87,10,18,True,0.068,none
B-000097,T-00023,V-0387,2317062.29,5,15,False,0.027,none
B-000098,T-00024,V-0143,2578564.78,5,8,False,0.085,none
B-000099,T-00024,V-0483,2611185.06,8,17,False,0.076,none
B-000100,T-00024,V-0395,2411041.28,6,12,False,0.048,none
B-000101,T-00024,V-0049,2109172.27,5,10,True,0.143,none
B-000102,T-00024,V-0118,2415576.5,0,11,False,0.065,none
B-000103,T-00024,V-0152,2556139.06,4,17,False,0.132,none
B-000104,T-00025,V-0050,2434131.15,4,12,True,0.073,none
B-000105,T-00025,V-0177,2700542.27,3,10,False,0.043,none
B-000106,T-00025,V-0145,2668701.6,4,17,False,0.113,none
B-000107,T-00025,V-0084,2763997.95,3,18,False,0.042,none
B-000108,T-00026,V-0358,15171362.45,0,16,True,0.108,shell_company
B-000109,T-00026,V-0387,15221441.91,7,8,False,0.074,none
B-000110,T-00026,V-0086,15442886.33,6,15,False,0.104,none
B-000111,T-00026,V-0014,16845545.19,4,9,False,0.143,none
B-000112,T-00027,V-0227,5460674.63,7,12,False,0.013,none
B-000113,T-00027,V-0455,5105228.75,2,12,True,0.11,none
B-000114,T-00028,V-0495,604070.73,3,9,True,0.049,none
B-000115,T-00028,V-0181,558246.07,8,13,False,0.041,none
B-000116,T-00029,V-0344,456647.28,6,9,True,0.14,none
B-000117,T-00029,V-0397,431784.2,8,13,False,0.029,none
B-000118,T-00029,V-0037,445231.27,8,18,False,0.126,none
B-000119,T-00029,V-0361,433114.27,10,8,False,0.142,none
B-000120,T-00029,V-0352,452650.32,10,8,False,0.037,none
B-000121,T-00029,V-0161,504372.4,9,14,False,0.131,none
B-000122,T-00030,V-0344,2492546.17,2,15,False,0.122,none
B-000123,T-00030,V-0100,2453163.46,7,12,True,0.02,none
B-000124,T-00030,V-0135,2955873.76,10,9,False,0.143,none
B-000125,T-00031,V-0001,2462096.92,8,17,False,0.031,none
B-000126,T-00031,V-0222,2393316.27,2,8,True,0.063,none
B-000127,T-00031,V-0034,2648987.44,4,17,False,0.057,none
B-000128,T-00032,V-0120,2580113.51,4,11,False,0.131,none
B-000129,T-00032,V-0326,2970739.82,10,15,True,0.074,none
B-000130,T-00032,V-0178,2786306.9,10,14,False,0.09,none
B-000131,T-00032,V-0247,2599021.99,8,15,False,0.044,none
B-000132,T-00032,V-0271,3023960.98,3,9,False,0.144,none
B-000133,T-00032,V-0336,2580097.55,4,14,False,0.145,none
B-000134,T-00033,V-0126,24870027.53,7,13,False,0.099,none
B-000135,T-00033,V-0339,24237442.77,5,14,True,0.106,none
B-000136,T-00033,V-0217,25669533.51,7,15,False,0.09,none
B-000137,T-00033,V-0059,26040638.86,10,11,False,0.004,none
B-000138,T-00034,V-0259,456011.38,0,16,False,0.116,none
B-000139,T-00034,V-0110,434562.88,4,18,False,0.048,none
B-000140,T-00034,V-0455,467698.43,6,15,False,0.064,none
B-000141,T-00034,V-0435,436630.18,4,8,True,0.04,none
B-000142,T-00035,V-0173,553002.46,4,15,True,0.061,none
B-000143,T-00035,V-0325,497440.32,9,10,False,0.08,none
B-000144,T-00035,V-0419,482583.4,10,9,False,0.142,none
B-000145,T-00036,V-0312,452492.58,0,14,False,0.014,none
B-000146,T-00036,V-0168,411360.49,5,13,False,0.115,none
B-000147,T-00036,V-0066,421443.75,8,9,False,0.098,none
