contract_id,tender_id,bid_id,vendor_id,award_amount,change_order_count,change_order_value_ratio,reported_completion_pct,actual_completion_pct,delivery_confirmed,inspection_mismatch_flag,is_phantom_gt,fraud_tag
C-00000,T-00000,B-000000,V-0254,4684699.72,1,0.03,96,96,True,False,False,none
C-00001,T-00001,B-000002,V-0013,43720007.47,1,0.03,92,92,True,False,False,none
C-00002,T-00002,B-000005,V-0026,663440.21,9,0.59,100,100,True,False,False,change_order_abuse
C-00003,T-00003,B-000011,V-0023,13080171.72,0,0.0,100,100,True,False,False,none
C-00004,T-00004,B-000017,V-0361,1508684.3,4,0.44,100,100,True,False,False,change_order_abuse
C-00005,T-00005,B-000024,V-0210,2742106.86,0,0.0,95,95,True,False,False,none
C-00006,T-00006,B-000025,V-0010,5050919.86,4,0.73,100,100,True,False,False,change_order_abuse
C-00007,T-00007,B-000027,V-0196,8089454.7,6,0.84,100,100,True,False,False,change_order_abuse
C-00008,T-00008,B-000036,V-0222,7814482.25,4,0.69,100,100,True,False,False,change_order_abuse
C-00009,T-00009,B-000037,V-0239,9537593.42,0,0.0,94,94,True,False,False,none
C-00010,T-00010,B-000044,V-0157,7771800.65,0,0.0,92,92,True,False,False,none
C-00011,T-00011,B-000049,V-0092,632293.88,5,0.46,100,100,True,False,False,change_order_abuse
C-00012,T-00012,B-000050,V-0446,688472.14,5,0.58,100,100,True,False,False,change_order_abuse
C-00013,T-00013,B-000055,V-0031,640040.14,2,0.06,92,92,True,False,False,none
C-00014,T-00014,B-000060,V-0328,654903.53,6,0.37,100,100,True,False,False,change_order_abuse
C-00015,T-00015,B-000064,V-0466,588966.35,0,0.0,98,98,True,False,False,none
C-00016,T-00016,B-000072,V-0390,5338420.76,9,0.85,100,100,True,False,False,change_order_abuse
C-00017,T-00017,B-000073,V-0428,11806029.35,1,0.03,100,100,True,False,False,none
C-00018,T-00018,B-000076,V-0185,1411057.25,10,0.7,100,100,True,False,False,change_order_abuse
C-00019,T-00019,B-000082,V-0133,13001735.09,7,0.53,100,100,True,False,False,change_order_abuse
C-00020,T-00020,B-000085,V-0092,12321938.38,4,0.89,100,100,True,False,False,change_order_abuse
C-00021,T-00021,B-000087,V-0426,12665829.89,0,0.0,92,92,True,False,False,none
C-00022,T-00022,B-000090,V-0205,13135575.5,0,0.0,98,98,True,False,False,none
C-00023,T-00023,B-000096,V-0148,2415555.87,8,0.41,100,100,True,False,False,change_order_abuse
C-00024,T-00024,B-000101,V-0049,2109172.27,7,0.47,100,100,True,False,False,change_order_abuse
C-00025,T-00025,B-000104,V-0050,2434131.15,10,0.58,100,100,True,False,False,change_order_abuse
C-00026,T-00026,B-000108,V-0358,15171362.45,1,0.03,98,98,True,False,False,shell_company
C-00027,T-00027,B-000113,V-0455,5105228.75,9,0.52,100,100,True,False,False,change_order_abuse
C-00028,T-00028,B-000114,V-0495,604070.73,10,0.35,100,100,True,False,False,change_order_abuse
C-00029,T-00029,B-000116,V-0344,456647.28,6,0.39,100,100,True,False,False,change_order_abuse
C-00030,T-00030,B-000123,V-0100,2453163.46,4,0.59,100,100,True,False,False,change_order_abuse
C-00031,T-00031,B-000126,V-0222,2393316.27,7,0.35,100,100,True,False,False,change_order_abuse
C-00032,T-00032,B-000129,V-0326,2970739.82,0,0.0,94,94,True,False,False,none
C-00033,T-00033,B-000135,V-0339,24237442.77,9,0.53,100,100,True,False,False,change_order_abuse
C-00034,T-00034,B-000141,V-0435,436630.18,6,0.75,100,100,True,False,False,change_order_abuse
C-00035,T-00035,B-000142,V-0173,553002.46,7,0.51,100,100,True,False,False,change_order_abuse
C-00036,T-00036,B-000150,V-0010,419421.87,1,0.03,96,96,True,False,False,none
C-00037,T-00037,B-000152,V-0191,38379052.27,0,0.0,92,92,True,False,False,none
C-00038,T-00038,B-000155,V-0080,12519484.9,0,0.0,99,99,True,False,False,none
C-00039,T-00039,B-000162,V-0048,13945887.55,4,0.42,100,100,True,False,False,change_order_abuse
C-00040,T-00040,B-000169,V-0464,13952708.24,0,0.0,100,0,False,False,True,phantom_project
C-00041,T-00041,B-000175,V-0414,11060329.2,1,0.03,100,100,True,False,False,none
C-00042,T-00042,B-000179,V-0164,2347504.68,2,0.06,96,96,True,False,False,none
C-00043,T-00043,B-000181,V-0053,995649.76,1,0.03,96,96,True,False,False,none
C-00044,T-00044,B-000182,V-0011,13452591.01,0,0.0,93,93,True,False,False,conflict_of_interest
C-00045,T-00045,B-000187,V-0450,9056868.25,0,0.0,100,0,False,False,True,phantom_project
C-00046,T-00046,B-000192,V-0241,12663551.17,0,0.0,95,95,True,False,False,none
C-00047,T-00047,B-000193,V-0159,3140958.55,0,0.0,100,0,False,False,True,phantom_project
C-00048,T-00048,B-000199,V-0325,439386.57,0,0.0,92,92,True,False,False,none
C-00049,T-00049,B-000200,V-0039,515805.42,0,0.0,100,0,False,False,True,phantom_project
C-00050,T-00050,B-000207,V-0303,512349.64,0,0.0,98,98,True,False,False,none
C-00051,T-00051,B-000209,V-0261,501639.69,0,0.0,95,95,True,False,False,none
C-00052,T-00052,B-000212,V-0197,1257777.03,0,0.0,98,98,True,False,False,none
C-00053,T-00053,B-000217,V-0333,656164.74,0,0.0,100,0,False,False,True,phantom_project
C-00054,T-00054,B-000221,V-0468,1811334.94,0,0.0,100,0,False,False,True,phantom_project
C-00055,T-00055,B-000228,V-0251,2050574.98,0,0.0,100,0,False,False,True,phantom_project
C-00056,T-00056,B-000231,V-0049,5373609.11,0,0.0,100,0,False,False,True,phantom_project
C-00057,T-00057,B-000234,V-0086,4328889.01,0,0.0,100,0,False,False,True,phantom_project
C-00058,T-00058,B-000236,V-0088,8226558.87,0,0.0,100,0,False,False,True,phantom_project
C-00059,T-00059,B-000239,V-0140,1506114.82,0,0.0,100,0,False,False,True,phantom_project
C-00060,T-00060,B-000240,V-0093,3767461.82,1,0.03,94,94,True,False,False,price_inflation
C-00061,T-00061,B-000244,V-0348,1054843.78,0,0.0,100,0,False,False,True,phantom_project
C-00062,T-00062,B-000245,V-0427,640215.22,0,0.0,95,32,True,False,False,misrepresented_status
C-00063,T-00063,B-000248,V-0230,663979.56,1,0.03,90,90,True,False,False,none
C-00064,T-00064,B-000255,V-0111,680374.02,0,0.0,91,91,True,False,False,none
C-00065,T-00065,B-000259,V-0165,4525760.84,0,0.0,95,30,True,False,False,misrepresented_status
C-00066,T-00066,B-000265,V-0242,1548915.3,0,0.0,95,95,True,False,False,none
C-00067,T-00067,B-000269,V-0305,1895171.32,0,0.0,96,96,True,False,False,none
C-00068,T-00068,B-000272,V-0036,29659211.09,0,0.0,97,97,True,False,False,bid_rigging
C-00069,T-00069,B-000276,V-0241,2448011.85,0,0.0,90,45,True,False,False,misrepresented_status
C-00070,T-00070,B-000281,V-0036,16863187.05,0,0.0,87,48,True,False,False,misrepresented_status
C-00071,T-00071,B-000283,V-0255,1994484.39,0,0.0,85,35,True,False,False,misrepresented_status
C-00072,T-00072,B-000287,V-0133,1628262.42,0,0.0,96,54,True,False,False,misrepresented_status
C-00073,T-00073,B-000294,V-0248,191644.64,3,0.09,98,98,True,False,False,none
C-00074,T-00074,B-000296,V-0388,303638.49,0,0.0,100,27,True,False,False,misrepresented_status
C-00075,T-00075,B-000302,V-0172,1934504.91,1,0.03,96,96,True,False,False,none
C-00076,T-00076,B-000307,V-0273,5251847.07,0,0.0,94,28,True,False,False,misrepresented_status
C-00077,T-00077,B-000314,V-0477,26048265.0,0,0.0,92,43,True,False,False,misrepresented_status
C-00078,T-00078,B-000317,V-0131,1226519.86,0,0.0,95,95,True,False,False,none
C-00079,T-00079,B-000318,V-0263,1346418.69,1,0.03,94,94,True,False,False,none
C-00080,T-00080,B-000328,V-0236,1279082.88,0,0.0,95,95,True,False,False,none
C-00081,T-00081,B-000331,V-0285,1099389.08,0,0.0,92,92,True,False,False,none
C-00082,T-00082,B-000334,V-0495,1159286.94,0,0.0,96,46,True,False,False,misrepresented_status
