document_id,bid_id,tender_id,vendor_id,author_matches_vendor_flag,creation_after_deadline_flag,modified_after_submission_flag,flesch_reading_ease,ai_generated_text_score,citation_verifiable_ratio,metadata_missing_flag,fraud_tag
D-000000,B-000000,T-00000,V-0254,True,False,False,33.3,0.225,0.9,False,none
D-000001,B-000001,T-00000,V-0259,True,False,False,31.7,0.195,1.0,False,none
D-000002,B-000002,T-00001,V-0013,True,False,False,41.9,0.3,0.96,False,none
D-000003,B-000003,T-00001,V-0396,True,False,False,60.7,0.057,0.94,False,none
D-000004,B-000004,T-00002,V-0246,True,False,False,41.3,0.38,0.91,False,none
D-000005,B-000005,T-00002,V-0026,True,False,False,55.7,0.04,0.93,False,none
D-000006,B-000006,T-00002,V-0198,True,False,False,44.5,0.219,0.85,False,none
D-000007,B-000007,T-00002,V-0392,True,False,False,50.8,0.318,0.88,False,none
D-000008,B-000008,T-00002,V-0193,True,False,False,53.4,0.173,0.92,False,none
D-000009,B-000009,T-00002,V-0356,True,False,False,26.4,0.344,0.92,False,none
D-000010,B-000010,T-00003,V-0290,True,False,False,52.0,0.279,0.86,False,none
D-000011,B-000011,T-00003,V-0023,True,False,False,43.3,0.199,0.94,False,none
D-000012,B-000012,T-00003,V-0410,True,False,False,58.3,0.098,0.99,False,none
D-000013,B-000013,T-00003,V-0007,True,False,False,9.1,0.069,0.92,False,none
D-000014,B-000014,T-00003,V-0447,True,False,False,60.5,0.492,0.98,False,none
D-000015,B-000015,T-00003,V-0368,True,False,False,28.4,0.19,0.87,False,none
D-000016,B-000016,T-00004,V-0253,True,False,False,23.5,0.136,0.93,False,none
D-000017,B-000017,T-00004,V-0361,True,False,False,41.3,0.454,0.92,False,none
D-000018,B-000018,T-00004,V-0376,True,False,False,48.2,0.419,0.88,False,none
D-000019,B-000019,T-00005,V-0257,True,False,False,49.8,0.081,0.98,True,none
D-000020,B-000020,T-00005,V-0053,True,False,False,45.7,0.292,0.94,False,none
D-000021,B-000021,T-00005,V-0027,True,False,False,47.5,0.08,0.92,False,none
D-000022,B-000022,T-00005,V-0177,True,False,False,56.6,0.272,0.92,False,none
D-000023,B-000023,T-00005,V-0461,True,False,False,45.7,0.036,0.92,True,none
D-000024,B-000024,T-00005,V-0210,True,False,False,44.5,0.15,0.94,False,none
D-000025,B-000025,T-00006,V-0010,True,False,False,35.1,0.117,1.0,False,none
D-000026,B-000026,T-00006,V-0255,True,False,False,35.9,0.115,0.86,False,none
D-000027,B-000027,T-00007,V-0196,True,False,False,41.2,0.063,0.88,False,none
