payment_id,contract_id,invoice_number,invoice_amount,duplicate_invoice_flag,intermediary_vendor_id,fraud_tag
P-000000,C-00000,INV-C-00000-0,1171174.93,False,,none
P-000001,C-00000,INV-C-00000-1,1171174.93,False,,none
P-000002,C-00000,INV-C-00000-2,1171174.93,False,,none
P-000003,C-00000,INV-C-00000-3,1171174.93,False,,none
P-000004,C-00001,INV-C-00001-0,30521510.34,False,V-0166,pass_through_cartel
P-000005,C-00001,INV-C-00001-1,30521510.34,False,V-0167,pass_through_cartel
P-000006,C-00002,INV-C-00002-0,221146.74,False,,change_order_abuse
P-000007,C-00002,INV-C-00002-1,221146.74,False,,change_order_abuse
P-000008,C-00002,INV-C-00002-2,221146.74,False,,change_order_abuse
P-000009,C-00003,INV-C-00003-0,6540085.86,False,,none
P-000010,C-00003,INV-C-00003-1,6540085.86,False,,none
P-000011,C-00004,INV-C-00004-0,377171.08,False,,change_order_abuse
P-000012,C-00004,INV-C-00004-1,377171.08,False,,change_order_abuse
P-000013,C-00004,INV-C-00004-2,377171.08,False,,change_order_abuse
P-000014,C-00004,INV-C-00004-3,377171.08,False,,change_order_abuse
P-000015,C-00005,INV-C-00005-0,2742106.86,True,,duplicate_invoice
P-000016,C-00005,INV-C-00005-1,2742106.86,True,,duplicate_invoice
P-000017,C-00006,INV-C-00006-0,1683639.95,False,,change_order_abuse
P-000018,C-00006,INV-C-00006-1,1683639.95,False,,change_order_abuse
P-000019,C-00006,INV-C-00006-2,1683639.95,False,,change_order_abuse
P-000020,C-00007,INV-C-00007-0,2022363.68,False,,change_order_abuse
P-000021,C-00007,INV-C-00007-1,2022363.68,False,,change_order_abuse
P-000022,C-00007,INV-C-00007-2,2022363.68,False,,change_order_abuse
P-000023,C-00007,INV-C-00007-3,2022363.68,False,,change_order_abuse
P-000024,C-00008,INV-C-00008-0,1953620.56,False,,change_order_abuse
P-000025,C-00008,INV-C-00008-1,1953620.56,False,,change_order_abuse
P-000026,C-00008,INV-C-00008-2,1953620.56,False,,change_order_abuse
P-000027,C-00008,INV-C-00008-3,1953620.56,False,,change_order_abuse
P-000028,C-00009,INV-C-00009-0,4768796.71,True,,duplicate_invoice
P-000029,C-00009,INV-C-00009-1,4768796.71,True,,duplicate_invoice
P-000030,C-00009,INV-C-00009-2,4768796.71,True,,duplicate_invoice
P-000031,C-00009,INV-C-00009-3,4768796.71,True,,duplicate_invoice
P-000032,C-00010,INV-C-00010-0,1942950.16,False,,none
P-000033,C-00010,INV-C-00010-1,1942950.16,False,,none
P-000034,C-00010,INV-C-00010-2,1942950.16,False,,none
P-000035,C-00010,INV-C-00010-3,1942950.16,False,,none
P-000036,C-00011,INV-C-00011-0,158073.47,False,,change_order_abuse
P-000037,C-00011,INV-C-00011-1,158073.47,False,,change_order_abuse
P-000038,C-00011,INV-C-00011-2,158073.47,False,,change_order_abuse
P-000039,C-00011,INV-C-00011-3,158073.47,False,,change_order_abuse
P-000040,C-00012,INV-C-00012-0,229490.71,False,,change_order_abuse
P-000041,C-00012,INV-C-00012-1,229490.71,False,,change_order_abuse
P-000042,C-00012,INV-C-00012-2,229490.71,False,,change_order_abuse
P-000043,C-00013,INV-C-00013-0,213346.71,False,,none
P-000044,C-00013,INV-C-00013-1,213346.71,False,,none
P-000045,C-00013,INV-C-00013-2,213346.71,False,,none
P-000046,C-00014,INV-C-00014-0,163725.88,False,,change_order_abuse
P-000047,C-00014,INV-C-00014-1,163725.88,False,,change_order_abuse
P-000048,C-00014,INV-C-00014-2,163725.88,False,,change_order_abuse
P-000049,C-00014,INV-C-00014-3,163725.88,False,,change_order_abuse
P-000050,C-00015,INV-C-00015-0,769450.49,False,V-0167,pass_through_cartel
P-000051,C-00016,INV-C-00016-0,2669210.38,False,,change_order_abuse
P-000052,C-00016,INV-C-00016-1,2669210.38,False,,change_order_abuse
P-000053,C-00017,INV-C-00017-0,11806029.35,False,,none
P-000054,C-00018,INV-C-00018-0,352764.31,False,,change_order_abuse
P-000055,C-00018,INV-C-00018-1,352764.31,False,,change_order_abuse
P-000056,C-00018,INV-C-00018-2,352764.31,False,,change_order_abuse
P-000057,C-00018,INV-C-00018-3,352764.31,False,,change_order_abuse
P-000058,C-00019,INV-C-00019-0,4333911.7,False,,change_order_abuse
P-000059,C-00019,INV-C-00019-1,4333911.7,False,,change_order_abuse
P-000060,C-00019,INV-C-00019-2,4333911.7,False,,change_order_abuse
P-000061,C-00020,INV-C-00020-0,6160969.19,False,,change_order_abuse
P-000062,C-00020,INV-C-00020-1,6160969.19,False,,change_order_abuse
