bid_id,tender_id,vendor_id,contract_id,category,department_id,estimated_value,submission_deadline_days,is_emergency_procurement,is_split_tender,num_bidders,bid_amount,price_ratio_to_estimate,price_zscore_in_category,submission_day_offset,submission_hour,bid_text_similarity_score,is_winner,vendor_age_days,employee_count,shared_address_count,shared_bank_account_count,award_amount,award_to_bid_ratio,change_order_count,change_order_value_ratio,reported_completion_pct,actual_completion_pct,completion_mismatch,delivery_confirmed,inspection_mismatch_flag,invoice_count,duplicate_invoice_flag,intermediary_flag,author_matches_vendor_flag,creation_after_deadline_flag,modified_after_submission_flag,flesch_reading_ease,ai_generated_text_score,citation_verifiable_ratio,metadata_missing_flag,fraud_category,is_anomaly
B-000000,T-00000,V-0254,C-00000,IT Services,DEPT-017,4363298.54,2,True,False,2,4684699.72,1.074,0.322,10,13,0.065,True,4006,1,0,0,4684699.72,1.0,1,0.03,96,96,0,True,False,4,False,False,True,False,False,33.3,0.225,0.9,False,fake_emergency,1
B-000001,T-00000,V-0259,,IT Services,DEPT-017,4363298.54,2,True,False,2,4046617.05,0.927,0.046,4,11,0.003,False,7202,49,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,31.7,0.195,1.0,False,none,0
B-000002,T-00001,V-0013,C-00001,Construction,DEPT-022,39732662.25,3,True,False,2,43720007.47,1.1,1.9,8,17,0.129,True,5578,3,0,0,43720007.47,1.0,1,0.03,92,92,0,True,False,2,False,True,True,False,False,41.9,0.3,0.96,False,pass_through_cartel,1
B-000003,T-00001,V-0396,,Construction,DEPT-022,39732662.25,3,True,False,2,40731586.7,1.025,1.642,10,18,0.111,False,6911,27,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,60.7,0.057,0.94,False,none,0
B-000004,T-00002,V-0246,,Security Services,DEPT-012,665667.63,2,True,False,6,637509.42,0.958,-1.281,6,14,0.082,False,3224,4,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,41.3,0.38,0.91,False,none,0
B-000005,T-00002,V-0026,C-00002,Security Services,DEPT-012,665667.63,2,True,False,6,663440.21,0.997,-1.257,1,15,0.018,True,1486,3,0,0,663440.21,1.0,9,0.59,100,100,0,True,False,3,False,False,True,False,False,55.7,0.04,0.93,False,change_order_abuse,1
B-000006,T-00002,V-0198,,Security Services,DEPT-012,665667.63,2,True,False,6,687967.24,1.033,-1.235,9,13,0.053,False,1128,1,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,44.5,0.219,0.85,False,none,0
B-000007,T-00002,V-0392,,Security Services,DEPT-012,665667.63,2,True,False,6,668703.29,1.005,-1.253,5,14,0.138,False,5109,1,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,50.8,0.318,0.88,False,none,0
B-000008,T-00002,V-0193,,Security Services,DEPT-012,665667.63,2,True,False,6,687185.58,1.032,-1.236,3,11,0.014,False,3038,16,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,53.4,0.173,0.92,False,none,0
B-000009,T-00002,V-0356,,Security Services,DEPT-012,665667.63,2,True,False,6,628895.87,0.945,-1.289,0,11,0.062,False,4216,1,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,26.4,0.344,0.92,False,none,0
B-000010,T-00003,V-0290,,Road Maintenance,DEPT-012,14292502.83,12,False,False,6,14437738.23,1.01,0.259,0,9,0.008,False,2540,15,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,52.0,0.279,0.86,False,none,0
B-000011,T-00003,V-0023,C-00003,Road Maintenance,DEPT-012,14292502.83,12,False,False,6,13080171.72,0.915,0.057,7,10,0.042,True,3459,6,0,0,13080171.72,1.0,0,0.0,100,100,0,True,False,2,False,False,True,False,False,43.3,0.199,0.94,False,none,0
B-000012,T-00003,V-0410,,Road Maintenance,DEPT-012,14292502.83,12,False,False,6,14197120.9,0.993,0.223,5,13,0.09,False,4382,69,2,3,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,58.3,0.098,0.99,False,none,0
B-000013,T-00003,V-0007,,Road Maintenance,DEPT-012,14292502.83,12,False,False,6,13517356.68,0.946,0.122,3,12,0.019,False,5476,30,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,9.1,0.069,0.92,False,none,0
B-000014,T-00003,V-0447,,Road Maintenance,DEPT-012,14292502.83,12,False,False,6,13661749.0,0.956,0.144,6,15,0.099,False,4971,1,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,60.5,0.492,0.98,False,none,0
B-000015,T-00003,V-0368,,Road Maintenance,DEPT-012,14292502.83,12,False,False,6,15352514.74,1.074,0.395,10,9,0.011,False,4207,10,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,28.4,0.19,0.87,False,none,0
B-000016,T-00004,V-0253,,Office Equipment,DEPT-024,1455488.68,24,False,False,3,1550792.05,1.065,1.711,3,15,0.107,False,4584,6,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,23.5,0.136,0.93,False,none,0
B-000017,T-00004,V-0361,C-00004,Office Equipment,DEPT-024,1455488.68,24,False,False,3,1508684.3,1.037,1.615,5,16,0.044,True,2293,8,0,0,1508684.3,1.0,4,0.44,100,100,0,True,False,4,False,False,True,False,False,41.3,0.454,0.92,False,change_order_abuse,1
B-000018,T-00004,V-0376,,Office Equipment,DEPT-024,1455488.68,24,False,False,3,1360097.75,0.934,1.277,10,11,0.079,False,6701,13,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,48.2,0.419,0.88,False,none,0
B-000019,T-00005,V-0257,,Consulting,DEPT-006,2710869.65,28,False,False,6,2659405.13,0.981,0.151,9,15,0.042,False,838,51,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,49.8,0.081,0.98,True,none,0
B-000020,T-00005,V-0053,,Consulting,DEPT-006,2710869.65,28,False,False,6,2908182.63,1.073,0.323,3,10,0.126,False,5705,52,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,45.7,0.292,0.94,False,none,0
B-000021,T-00005,V-0027,,Consulting,DEPT-006,2710869.65,28,False,False,6,2733920.21,1.009,0.202,8,11,0.046,False,7413,10,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,47.5,0.08,0.92,False,none,0
B-000022,T-00005,V-0177,,Consulting,DEPT-006,2710869.65,28,False,False,6,3088113.65,1.139,0.448,8,11,0.018,False,3785,13,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,56.6,0.272,0.92,False,none,0
B-000023,T-00005,V-0461,,Consulting,DEPT-006,2710869.65,28,False,False,6,2774843.65,1.024,0.231,2,8,0.147,False,2708,18,0,0,0.0,1.0,0,0.0,-1,-1,0,True,False,0,False,False,True,False,False,45.7,0.036,0.92,True,none,0
