tender_id,category,department_id,estimated_value,published_date,submission_deadline_days,is_emergency_procurement,split_parent_tender_id
T-00000,IT Services,DEPT-017,4363298.54,2025-03-18,2,True,
T-00001,Construction,DEPT-022,39732662.25,2025-01-09,3,True,
T-00002,Security Services,DEPT-012,665667.63,2025-03-01,2,True,
T-00003,Road Maintenance,DEPT-012,14292502.83,2024-09-22,12,False,
T-00004,Office Equipment,DEPT-024,1455488.68,2025-06-28,24,False,
T-00005,Consulting,DEPT-006,2710869.65,2025-05-18,28,False,
T-00006,IT Services,DEPT-005,5146369.51,2024-03-01,3,True,
T-00007,Road Maintenance,DEPT-003,8164141.82,2026-04-26,16,False,SPLIT-PARENT-7
T-00008,Road Maintenance,DEPT-003,7636440.8,2026-04-27,19,False,SPLIT-PARENT-7
T-00009,Road Maintenance,DEPT-003,8296589.76,2026-04-25,13,False,SPLIT-PARENT-7
T-00010,Road Maintenance,DEPT-003,7649082.3,2026-04-27,14,False,SPLIT-PARENT-7
T-00011,Catering,DEPT-002,662326.9,2024-09-11,10,False,SPLIT-PARENT-11
T-00012,Catering,DEPT-002,667000.98,2024-09-11,14,False,SPLIT-PARENT-11
T-00013,Catering,DEPT-002,622315.42,2024-09-13,11,False,SPLIT-PARENT-11
T-00014,Catering,DEPT-002,654496.98,2024-09-12,16,False,SPLIT-PARENT-11
T-00015,Catering,DEPT-002,611322.88,2024-09-11,10,False,SPLIT-PARENT-11
T-00016,IT Services,DEPT-025,5657264.91,2024-07-21,1,True,
T-00017,Road Maintenance,DEPT-019,11908985.55,2025-09-11,30,False,
T-00018,Catering,DEPT-023,1292360.35,2023-09-02,3,True,
T-00019,Construction,DEPT-009,13498537.42,2023-12-01,15,False,SPLIT-PARENT-19
T-00020,Construction,DEPT-009,12197222.11,2023-12-02,15,False,SPLIT-PARENT-19
T-00021,Construction,DEPT-009,12663515.49,2023-12-02,10,False,SPLIT-PARENT-19
T-00022,Construction,DEPT-009,12427538.28,2023-12-04,20,False,SPLIT-PARENT-19
T-00023,IT Services,DEPT-017,2597949.55,2024-02-02,18,False,SPLIT-PARENT-23
T-00024,IT Services,DEPT-017,2497428.9,2024-02-03,20,False,SPLIT-PARENT-23
T-00025,IT Services,DEPT-017,2671155.3,2024-02-03,20,False,SPLIT-PARENT-23
T-00026,Road Maintenance,DEPT-004,15023543.49,2025-12-30,10,False,
T-00027,Medical Supplies,DEPT-017,5421774.36,2024-07-30,2,True,
